我是山姆,2001,8.9,250407
头号玩家,2018,8.6,1115577
英雄本色,1986,8.7,412540
上帝之城,2002,9.0,249233
未麻的部屋,1997,9.0,227286
谍影重重3,2007,8.8,342994
疯狂原始人,2013,8.7,696840
卢旺达饭店,2004,8.9,246435
三块广告牌,2017,8.7,666874
纵横四海,1991,8.8,329146
花样年华,2000,8.7,462472
岁月神偷,2010,8.7,493899
达拉斯买家俱乐部,2013,8.8,360116
模仿游戏,2014,8.7,489957
心迷宫,2014,8.7,397037
黑客帝国3：矩阵革命,2003,8.8,342464
新世界,2013,8.8,286069
记忆碎片,2000,8.6,496397
头脑特工队,2015,8.7,475045
荒蛮故事,2014,8.8,342463
你的名字。,2016,8.4,1106757
忠犬八公物语,1987,9.2,151561
真爱至上,2003,8.6,588917
爆裂鼓手,2014,8.7,451340
贫民窟的百万富翁,2008,8.6,615730
东邪西毒,1994,8.6,477046
萤火虫之墓,1988,8.7,346179
海街日记,2015,8.8,331810
惊魂记,1960,9.0,200087
黑天鹅,2010,8.6,677320
无敌破坏王,2012,8.7,426870
你看起来好像很好吃,2010,8.9,272550
寄生虫,2019,8.7,1096071
冰川时代,2002,8.6,504226
小偷家族,2018,8.7,664718
绿里奇迹,1999,8.9,238741
哈利·波特与火焰杯,2005,8.6,443421
雨人,1988,8.7,334544
爱在午夜降临前,2013,8.8,278311
恋恋笔记本,2004,8.5,529406
疯狂的石头,2006,8.5,646448
恐怖游轮,2009,8.5,638098
奇迹男孩,2017,8.6,462142
九品芝麻官,1994,8.6,477424
雨中曲,1952,9.0,166095
魔女宅急便,1989,8.7,370018
二十二,2015,8.7,236477
虎口脱险,1966,8.9,191616
海边的曼彻斯特,2016,8.6,388878
房间,2015,8.8,315710
人工智能,2001,8.7,353543
2001太空漫游,1968,8.8,234302
色，戒,2007,8.5,560465
可可西里,2004,8.8,237534
城市之光,1931,9.3,106616
罗生门,1950,8.8,245486
终结者2：审判日,1991,8.7,280437
初恋这件小事,2010,8.4,829200
魂断蓝桥,1940,8.8,223907
大佛普拉斯,2017,8.7,325335
遗愿清单,2007,8.7,318001
牯岭街少年杀人事件,1991,8.9,208351
波西米亚狂想曲,2018,8.7,463085
源代码,2011,8.5,664325
新龙门客栈,1992,8.6,354755
青蛇,1993,8.6,412028
无耻混蛋,2009,8.6,383873
海洋,2009,9.1,138068
燃情岁月,1994,8.8,235537
疯狂的麦克斯4：狂暴之路,2015,8.6,416836
血钻,2006,8.7,292464
步履不停,2008,8.8,212162
穿越时空的少女,2006,8.6,320107
谍影重重2,2004,8.7,287776
阿飞正传,1990,8.5,399611
彗星来的那一夜,2013,8.5,417239
战争之王,2005,8.7,285376
地球上的星星,2007,8.9,168401
完美陌生人,2016,8.5,441376
谍影重重,2002,8.6,343897
香水,2006,8.5,456275
东京教父,2003,9.0,141035
无间道2,2003,8.6,330155
东京物语,1953,9.2,105404
千钧一发,1997,8.8,207788
黑客帝国2：重装上阵,2003,8.6,302291
朗读者,2008,8.6,391793
再次出发之纽约遇见你,2013,8.6,341809
崖上的波妞,2008,8.5,371310
驴得水,2016,8.3,745802
我爱你,2011,9.1,129230
猜火车,1996,8.5,358368
浪潮,2008,8.7,221966
聚焦,2015,8.8,229426
小萝莉的猴神大叔,2015,8.4,401870
追随,1998,8.9,148463
黑鹰坠落,2001,8.7,237506
网络谜踪,2018,8.6,427681
